location,operator,route,type,all_aboard,passengers_aboard,crew_aboard,total_fatalities,passenger_fatalities,crew_fatalities,ground,year,month,day,country,decade,scale
"Near Sam Neua, Laos",Lao Aviation,Vientiane - Sam Neua,Harbin Yunshuji Y-12-II,17.0,15.0,2.0,8.0,8.0,0.0,0.0,2000,Octubre,Jueves,LAOS,2000,Sin escala
"Near Batumi, Republic of Georgia",Military - Russian Air Force,Moscow - Batumi,Ilyushin IL-18D,86.0,75.0,11.0,86.0,75.0,11.0,0.0,2000,Octubre,Miércoles,REPUBLIC OF GEORGIA,2000,Sin escala
"Taipei, Taiwan",Singapore Airlines,Taipei - Los Angeles,Boeing B-747-412,179.0,159.0,20.0,83.0,79.0,4.0,0.0,2000,Octubre,Martes,TAIWAN,2000,Sin escala
"Near Monaquimbundo, Angola",Aca-Ancargo,Saurimo - Luanda,Antonov AN-26,44.0,39.0,5.0,44.0,39.0,5.0,0.0,2000,Octubre,Martes,ANGOLA,2000,Sin escala
"Luabo, Democratic Republic Congo",Malu Aviation,,Antonov 32B,11.0,5.0,6.0,2.0,1.0,1.0,0.0,2000,Noviembre,Martes,DEMOCRATIC REPUBLIC CONGO,2000,Sin dato
"Fort Wayne, Indiana",Superior Aviation,"Fort Wayne, IN - Milwaukee, WI",Swearingen SA.226TC Metro II,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2000,Noviembre,Jueves,EEUU,2000,Sin escala
"Near Luanda, Angola",Asa Pesada,Luanda - Namibe,Antonov AN-26,57.0,52.0,5.0,57.0,52.0,5.0,0.0,2000,Noviembre,Miércoles,ANGOLA,2000,Sin escala
"Miami, Florida",American Airlines,"Miami, FL - Port au Prince",Airbus A300-600R,114.0,105.0,9.0,1.0,0.0,1.0,0.0,2000,Noviembre,Lunes,EEUU,2000,Sin escala
"Near Sumacal, Beni, BO",Servicio Aereo Manchupo,Cashaschanes - Sumacal,Cessna 206,6.0,5.0,1.0,6.0,5.0,1.0,0.0,2000,Diciembre,Lunes,BO,2000,Sin escala
"Zheng Zou AB, China",Military - People's Liberation Army,Training,Shaanxi Yunshuji Y-8/Yunshuji Y-8,16.0,0.0,16.0,16.0,0.0,16.0,6.0,2001,Enero,Jueves,CHINA,2000,Sin escala
"Near Silimo, Indonesia",Military - Tentara Nasional Indonesia Navy,Timika - Jayapura,CASA 212-MP Aviocar 200,9.0,0.0,9.0,9.0,0.0,9.0,0.0,2001,Enero,Lunes,INDONESIA,2000,Sin escala
"Eider Point, Alaska",Majestic Air Cargo,,Douglas C-47A-30-DK (DC-3C),2.0,0.0,2.0,2.0,0.0,2.0,0.0,2001,Enero,Martes,EEUU,2000,Sin dato
"Ciudad Bolivar, Venezuela",Rutaca Airlines,Canaina - Ciudad Bolivar - Por La Mar,Douglas DC-3C (C47A-DL),24.0,20.0,4.0,24.0,20.0,4.0,0.0,2001,Enero,Jueves,VENEZUELA,2000,Con escala
"Byers, Colorado",North Bay Charter,"Broomfield, CO - Stillwater, OK",Beech King Air 200 Catpass,10.0,8.0,2.0,10.0,8.0,2.0,0.0,2001,Enero,Sábado,EEUU,2000,Sin escala
"El Yopal, Colombia",Lineas Aereas Suramericanas,El Yopal - Mitu,Sud Aviation SE-210 Caravelle 10R,6.0,3.0,3.0,3.0,2.0,1.0,0.0,2001,Enero,Miércoles,COLOMBIA,2000,Sin escala
"Nurnberg, Germany",E.A.S. Aeroservizi,"Nurnberg - Rome, Italy",Learjet 35A,3.0,1.0,2.0,3.0,1.0,2.0,0.0,2001,Febrero,Jueves,GERMANY,2000,Sin escala
"Beaver Island, Minnesota",Northern Illinois Flight Center,Chicago - Beaver Island,Swearingen SA.227AT Merlin IVC,6.0,4.0,2.0,2.0,0.0,2.0,0.0,2001,Febrero,Jueves,EEUU,2000,Sin escala
"Jakobkondre, Suriname",Gum Air Charter,Paramaribo - Jakobkondre,GAF Nomad N24A,10.0,9.0,1.0,10.0,9.0,1.0,0.0,2001,Febrero,Sábado,SURINAME,2000,Sin escala
"Near Granton Harbour, Scotland",Loganair,Edinburgh - Belfast,Shorts 360-100,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2001,Febrero,Martes,SCOTLAND,2000,Sin escala
"Unadilla, Georgia",Military - Florida Army National Guard,"Fort Walton Beach, Fl - Oceana Naval Air Station, VA",Short 360,21.0,18.0,3.0,21.0,18.0,3.0,0.0,2001,Marzo,Sábado,EEUU,2000,Sin escala
"Bangkok, Thailand",Thai Airways,Bangkok - Chiang Mai.,Boeing B-737-4D7,5.0,0.0,5.0,1.0,0.0,1.0,0.0,2001,Marzo,Sábado,THAILAND,2000,Sin escala
"Medina, Saudi Arabia",Vnukovo Airlines,Istanbul - Moscow,Tupolev 154M,174.0,162.0,12.0,3.0,2.0,1.0,0.0,2001,Marzo,Jueves,SAUDI ARABIA,2000,Sin escala
"Gustavia, St. Barthélémy, French West Indies",Air Caraibes,St. Maarten - St. Barthélémy,de Havilland Canada DHC-6 Twin Otter,19.0,17.0,2.0,19.0,17.0,2.0,1.0,2001,Marzo,Sábado,FRENCH WEST INDIES,2000,Sin escala
"Jadura, Indonesia",Merpati Nusantara Airlines,Training,Fokker F-27 Friendship 500F,3.0,0.0,3.0,3.0,0.0,3.0,0.0,2001,Marzo,Lunes,INDONESIA,2000,Sin escala
"Near Aspen, Colorado",Jetwingsco Inc. - Private Charter,Los Angeles - Aspen,Grummand Gulfstream III,18.0,15.0,3.0,18.0,15.0,3.0,0.0,2001,Marzo,Jueves,EEUU,2000,Sin escala
"Adar Yeil, Sudan",Military - Sudan Air Force,Adar Yeil - Khartoum,Antonov AN-24,30.0,,,14.0,,,0.0,2001,Abril,Miércoles,SUDAN,2000,Sin escala
"Thanh Tranh Village, Vietnam",SFC Vietnam - Charter - Full Account,Vinh - Dong Hoi - Hue,Mil Mi-18 Helicopter,16.0,13.0,3.0,16.0,13.0,3.0,0.0,2001,Abril,Sábado,VIETNAM,2000,Con escala
"Near Roque Perez, Argentina",Private - Techint  group,San Fernando - El Calafate,Cessna  208B Grand Caravan,10.0,8.0,2.0,10.0,8.0,2.0,0.0,2001,Abril,Sábado,ARGENTINA,2000,Sin escala
"Malatya, Turkey",Military - Turkish Air Force,Diyarbakir - Ankara,CASA CN-235M-10,34.0,28.0,6.0,34.0,28.0,6.0,0.0,2001,Mayo,Miércoles,TURKEY,2000,Sin escala
"Near Sari, Iran",Faraz Qeshm Airlines,Tehran - Gorgan,Yakovlev YAK-40,30.0,25.0,5.0,30.0,25.0,5.0,0.0,2001,Mayo,Jueves,IRAN,2000,Sin escala
"Mendoza, Argentina",Fuerza Aérea Argentina,Mendoza - Parana,Fokker F-27 Friendship 400M,5.0,0.0,5.0,5.0,0.0,5.0,0.0,2001,Mayo,Jueves,ARGENTINA,2000,Sin escala
"Near Myakotino, Russia",Military - Russian Air Force,Rzhevsk - Morsansk,Antonov 12MGA,7.0,0.0,7.0,7.0,0.0,7.0,0.0,2001,Mayo,Martes,RUSSIA,2000,Sin escala
"Jayapura, Indonesia",Manunggal Air,Jayapura - Wamena,Transall C-160NG,19.0,16.0,3.0,1.0,1.0,0.0,0.0,2001,Junio,Viernes,INDONESIA,2000,Sin escala
"Near Irkutsk, Russia",Vladivostokavia,Yekaterinburg - Irkutsk - Vladivostok,Tupolev TU-154M,145.0,136.0,9.0,145.0,136.0,9.0,0.0,2001,Julio,Miércoles,RUSSIA,2000,Con escala
"Off Chinhae, South Korea",Private  - Daewoo Shipbuilding,Jinhae - Ockpo,Sikorsky S-76B helicopter,12.0,9.0,3.0,8.0,7.0,1.0,0.0,2001,Julio,Jueves,SOUTH KOREA,2000,Sin escala
"Near Puerto Cabello, Venezuela",Private - Overtec Company,Puerto Cabello - Caracas,Antonov AN-28 PZL-Mielec M-28 Sky Truck,13.0,10.0,3.0,13.0,10.0,3.0,0.0,2001,Julio,Jueves,VENEZUELA,2000,Sin escala
"Near Moscow, Russia",Russ Air Transport Company,Moscow - Norilsk,Ilyushin IL-76,10.0,0.0,10.0,10.0,0.0,10.0,0.0,2001,Julio,Sábado,RUSSIA,2000,Sin escala
"Reykjavík, Iceland",Naske Air,"Reykjavík, Iceland - Narsarsua, Greenland",Dassault Falcon 20C,3.0,1.0,2.0,3.0,1.0,2.0,0.0,2001,Agosto,Domingo,ICELAND,2000,Sin escala
"Near Meadview, Arizona",Papillon Grand Canyon Helicopters of Las Vegas,Grand Canyon NP - Las Vegas,Aerospatiale AS350 Eurocopter  helicoper,7.0,6.0,1.0,6.0,5.0,1.0,0.0,2001,Agosto,Viernes,EEUU,2000,Sin escala
"Mugogo, Democratic Republic Congo",Victoria Airlines,Kama - Kapmene,Antonov 28,11.0,9.0,2.0,4.0,2.0,2.0,0.0,2001,Agosto,Jueves,DEMOCRATIC REPUBLIC CONGO,2000,Sin escala
"Ithaca, New York",Ameristar Jet Charter,"Ithaca, NY - Jackson, MI",Learjet 25,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2001,Agosto,Viernes,EEUU,2000,Sin escala
"Lajes, Terceira, Azores",Air Transat,Toronto - Lisbon,Airbus A-330-243,304.0,291.0,13.0,0.0,0.0,0.0,0.0,2001,Agosto,Viernes,AZORES,2000,Sin escala
"Near Malaga, Spain",Binter Mediterráneo,Melilla - Málaga,CASA  CN-235-200,47.0,44.0,3.0,4.0,3.0,1.0,0.0,2001,Agosto,Miércoles,SPAIN,2000,Sin escala
"Arlington, Virginia.",American Airlines,Washington D.C. - Los Angeles,Boeing B-757-223,64.0,58.0,6.0,64.0,58.0,6.0,125.0,2001,Septiembre,Martes,VIRGINIA.,2000,Sin escala
"New York City, New York",American Airlines,Boston - Los Angeles,Boeing 767-223ER,92.0,81.0,11.0,92.0,81.0,11.0,2750.0,2001,Septiembre,Martes,EEUU,2000,Sin escala
"New York City, New York",United Air Lines,Boston - Los Angeles,Boeing B-767-222,65.0,56.0,9.0,65.0,56.0,9.0,2750.0,2001,Septiembre,Martes,EEUU,2000,Sin escala
"Shanksville, Pennsylvania",United Air Lines,Newark - San Francisco,Boeing B-757-222,44.0,37.0,7.0,44.0,37.0,7.0,0.0,2001,Septiembre,Martes,EEUU,2000,Sin escala
"Near Chichen Itza, Mexico",Aero Ferinco Charter,Chichen Itza - Cozumel,LET 410UVP,19.0,17.0,2.0,19.0,17.0,2.0,0.0,2001,Septiembre,Miércoles,MEXICO,2000,Sin escala
"Belo Horizonte, Brazil",TAM (Brazil),Recife  - Sao Paulo,Fokker 100,82.0,77.0,5.0,1.0,1.0,0.0,0.0,2001,Septiembre,Sábado,BRAZIL,2000,Sin escala
"Guatemala City, Guatemala",Atlantic Airlines,"Guatemala City - San Pedro Sula, Honduras",LET 410UVP-E,13.0,11.0,2.0,9.0,8.0,1.0,0.0,2001,Septiembre,Martes,GUATEMALA,2000,Sin escala
"110 miles SW of Sochi, Russia",Sibir Airlines,"Tel Aviv -  Novosibirsk, Russia",Tupolev Tu-154M,78.0,66.0,12.0,78.0,66.0,12.0,0.0,2001,Octubre,Jueves,RUSSIA,2000,Sin escala
"Mollet Lake, Quebec, Canada",Air Saint Maurice Inc.,Iyachisakus Lake - Mollet Lake,de Havilland DHC-2 Mk 1 Beaver,7.0,6.0,1.0,3.0,2.0,1.0,0.0,2001,Octubre,Lunes,CANADA,2000,Sin escala
"Milan, Italy",Scandinavian Airlines (SAS) / Private,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,114.0,106.0,8.0,114.0,106.0,8.0,4.0,2001,Octubre,Lunes,ITALY,2000,Con escala
"Off Valencia, Spain",Flightline,"Barcelona - Oran, Algeria",Swearingen SA-226AT Merlin IV,10.0,8.0,2.0,10.0,8.0,2.0,0.0,2001,Octubre,Miércoles,SPAIN,2000,Sin escala
"Dillingham, Alaska",PenAir,Dillingham - King Salmon,Cessna 208 Caravan,10.0,9.0,1.0,10.0,9.0,1.0,0.0,2001,Octubre,Miércoles,EEUU,2000,Sin escala
"Shamattawa, Canada",Perimeter Airlines,Gods Narrows - Shamattawa,Swearingen SA.226TC Metro I,3.0,1.0,2.0,2.0,0.0,2.0,0.0,2001,Octubre,Jueves,CANADA,2000,Sin escala
"Anchorage, Alaska",ERA Aviation - Air Taxi,"Fire Island, AK - Anchorage, AK",Bell 206L,5.0,4.0,1.0,3.0,2.0,1.0,0.0,2001,Octubre,Jueves,EEUU,2000,Sin escala
"Belle Harbor, Queens, New York",American Airlines,"New York City - Santo Domingo, Dominican Rep.",Airbus A-300-605R,260.0,251.0,9.0,260.0,251.0,9.0,5.0,2001,Noviembre,Lunes,EEUU,2000,Sin escala
"Kalyazin, Russia",Charter - IRS Aero,Khatanga - Moscow,Ilyushin 18V,27.0,18.0,9.0,27.0,18.0,9.0,0.0,2001,Noviembre,Lunes,RUSSIA,2000,Sin escala
"Pittsburgh, Pennsylvania",Universal Jet Aviation,"Pittsburgh, PA - Baca Raton, Fl",Learjet 25B,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2001,Noviembre,Jueves,EEUU,2000,Sin escala
"Palade, Estonia",ELK Aviation Co. (leased from Eminex),Tallinn - Kardla,Antonov AN-28,17.0,14.0,3.0,2.0,2.0,0.0,0.0,2001,Noviembre,Viernes,ESTONIA,2000,Sin escala
"Birchwil, Switzerland",Crossair,Berlin - Zurich,BAE Avro RJ100,33.0,28.0,5.0,24.0,21.0,3.0,0.0,2001,Noviembre,Sábado,SWITZERLAND,2000,Sin escala
"Port Harcourt, Nigeria",MK Airlines,Luxembourg - Port Harcourt,Boeing 747-246F,13.0,0.0,13.0,1.0,0.0,1.0,0.0,2001,Noviembre,Martes,NIGERIA,2000,Sin escala
"Near Novaya Inya , Russia","Military - Russian, cargo",Moscow - Bratsk - Anadyr,Ilyushin IL- 76TD,18.0,9.0,9.0,18.0,9.0,9.0,0.0,2001,Diciembre,Sábado,RUSSIA,2000,Con escala
"Geti, Democratic Republic Congo",Eagle Air,Bunia - Beni,Let 410A,6.0,4.0,2.0,6.0,4.0,2.0,0.0,2001,Diciembre,Viernes,DEMOCRATIC REPUBLIC CONGO,2000,Sin escala
"Near Medellin, Colombia",Heliandes,Medellin - Quibdo,Let 410UVP-E,16.0,14.0,2.0,16.0,14.0,2.0,0.0,2001,Diciembre,Domingo,COLOMBIA,2000,Sin escala
"Bremerhaven, Germany",BAL Bremerhaven Airline,Bremerhaven - Wangerooge,Britten Norman BN-2B Trislander,9.0,8.0,1.0,8.0,7.0,1.0,0.0,2001,Diciembre,Miércoles,GERMANY,2000,Sin escala
"Birmingham, England",Agco Corp,"Birmingham, England - Bangor, MA",Canadair CL-604,5.0,3.0,2.0,5.0,3.0,2.0,0.0,2002,Enero,Viernes,ENGLAND,2000,Sin escala
"Shamsi AFB, Pakistan",Military - U.S. Air Force,Jacobabad - Shamsi,Lockheed Hercules KC-130R,7.0,0.0,7.0,7.0,0.0,7.0,0.0,2002,Enero,Miércoles,PAKISTAN,2000,Sin escala
"Bilbao, Spain",Ibertrans Aérea,Madrid - Bilbao,Embraer EMB-120 Brasilia,3.0,0.0,3.0,3.0,0.0,3.0,0.0,2002,Enero,Lunes,SPAIN,2000,Sin escala
"Chilpancingo, Mexico",Procuraduría General de la República,Mexico City - Chilpancingo,de Havilland DHC-6 Twin Otter 300,17.0,15.0,2.0,5.0,5.0,0.0,0.0,2002,Enero,Martes,MEXICO,2000,Sin escala
"Near Solo, Indonesia",Garuda Indonesia Airlines,Mataram - Yogyakarta - Jakarta,Boeing B-737-3Q8,62.0,54.0,8.0,1.0,0.0,1.0,0.0,2002,Enero,Miércoles,INDONESIA,2000,Con escala
"Near La Bonita, Ecuador",Petroproducción,Quito - Lago Agrio,Fairchild FH-227E,26.0,21.0,5.0,26.0,21.0,5.0,0.0,2002,Enero,Jueves,ECUADOR,2000,Sin escala
"Near Luena, Angola",Military - Angolan  Air Force,,Antonov AN-12,40.0,34.0,6.0,5.0,3.0,2.0,0.0,2002,Enero,Domingo,ANGOLA,2000,Sin dato
"Near Ipiales, Colombia",TAME,Quito -  Tulcán - Cali,Boeing B-727-134,92.0,83.0,9.0,92.0,83.0,9.0,0.0,2002,Enero,Lunes,COLOMBIA,2000,Con escala
"Near Khorramabed, Iran",Iran Air Tours,Tehran - Khorramabed,Tupolev TU-154,117.0,108.0,9.0,117.0,108.0,9.0,0.0,2002,Febrero,Martes,IRAN,2000,Sin escala
"Monrovia, Liberia",Tiramavia,,Antonov 12BP,10.0,3.0,7.0,1.0,0.0,1.0,0.0,2002,Febrero,Viernes,LIBERIA,2000,Sin dato
"Lakhta, Russia",Military - Russian Navy,Sanofov - Lakhta,Antonov AN-26,20.0,12.0,8.0,17.0,12.0,5.0,0.0,2002,Febrero,Jueves,RUSSIA,2000,Sin escala
"Off Dumaguete, Philippines",Military - U.S. Army,Basilan - Mactan Island,MH-47 Chinook helicopter,10.0,4.0,6.0,10.0,4.0,6.0,0.0,2002,Febrero,Viernes,PHILIPPINES,2000,Sin escala
"Monte Rotondo, Italy",Svedijos Prekés,"Budapest, Hungary - Tunis, Tunisia",Antonov 2TP,3.0,1.0,2.0,3.0,1.0,2.0,0.0,2002,Marzo,Sábado,ITALY,2000,Sin escala
"Near Placetas, Cuba",Charter - Aerotaxi,Cienfuegos -- Cayo Coco,Antonov AN-2,17.0,15.0,2.0,17.0,15.0,2.0,0.0,2002,Marzo,Jueves,CUBA,2000,Con escala
"Off Djibouti, Republic of Djibouti",Djibouti Airlines,"Mogadishu, Somalia - Djibouti",Let 410UVP-E,4.0,0.0,4.0,4.0,0.0,4.0,0.0,2002,Marzo,Domingo,REPUBLIC OF DJIBOUTI,2000,Sin escala
"Palma de Mallorca, Spain",Tadair,Madrid - Palma de Mallorca,Swearingen SA.227AC Metro III,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2002,Abril,Viernes,SPAIN,2000,Sin escala
"Busan, South Korea",Air China,Beijing - Busan,Boeing B-767-200ER,166.0,155.0,11.0,128.0,120.0,8.0,0.0,2002,Abril,Lunes,SOUTH KOREA,2000,Sin escala
"Popayán, Colombia",SELVA Colombia,Medellín - Popayán,Antonov AN-32A,8.0,5.0,3.0,3.0,3.0,0.0,0.0,2002,Abril,Viernes,COLOMBIA,2000,Sin escala
"Near Abakan, Russia",Private,,Mi-8 helicopter,20.0,17.0,3.0,8.0,6.0,2.0,0.0,2002,Abril,Domingo,RUSSIA,2000,Sin dato
"Kano, Nigeria",EAS Airlines (Executive Airline Services),Abuja - Jos - Kano - Lagos,BAC One-Eleven 525FT,77.0,69.0,8.0,74.0,67.0,7.0,78.0,2002,Mayo,Sábado,NIGERIA,2000,Con escala
"Near Tunis, Tunisia",EgyptAir,Cairo - Tunis,Boeing B-737-566,62.0,56.0,6.0,14.0,11.0,3.0,0.0,2002,Mayo,Martes,TUNISIA,2000,Sin escala
"Off Dalian, China",China Northern Airlines,Beijing - Dalian,McDonnell Douglas MD-82,112.0,103.0,9.0,112.0,103.0,9.0,0.0,2002,Mayo,Martes,CHINA,2000,Sin escala
"Near Calabar, Nigeria",Sky Executive Air Services,Port Harcourt - Calabar,LET 410UVP,5.0,0.0,5.0,5.0,0.0,5.0,0.0,2002,Mayo,Martes,NIGERIA,2000,Sin escala
"Off Penghu Island, Taiwan",China Airlines (Taiwan),Taipei - Hong Kong,Boeing B-747-209B,225.0,206.0,19.0,225.0,206.0,19.0,0.0,2002,Mayo,Sábado,TAIWAN,2000,Sin escala
"Near Nabire, Indonesia",Trigana Air Service,Nabire - Enaotali,de Havilland Canada DHC-6 Twin Otter 300,6.0,2.0,4.0,6.0,2.0,4.0,0.0,2002,Mayo,Sábado,INDONESIA,2000,Sin escala
"George, South Africa",Airquarius Aviation - Charter,Bloemfontein - George,Hawker Siddeley HS-748-372,3.0,1.0,2.0,3.0,1.0,2.0,0.0,2002,Junio,Sábado,SOUTH AFRICA,2000,Sin escala
"Near Ndalatando, Angola",Military - Angolan Armed Forces,Luanda - demobilization camp,Mi-17,25.0,23.0,2.0,20.0,18.0,2.0,0.0,2002,Junio,Domingo,ANGOLA,2000,Sin escala
"Near Gardez, Afghanistan",Military - U.S. Air Force,,Lockheed MC-130H Hercules,10.0,2.0,8.0,3.0,0.0,3.0,0.0,2002,Junio,Miércoles,AFGHANISTAN,2000,Sin dato
"Uberlingen, Germany",Bashkirian Airlines / DHL Worldwide Express,Moscow-Munich-Barcelona / Bahrain/Brussels,Tupolev TU-154M / Boeing B-757-23APF,71.0,57.0,14.0,71.0,57.0,14.0,0.0,2002,Julio,Lunes,GERMANY,2000,Con escala
"Bangui, Central African Republic",Prestige Airlines (Cargo) Charter,"N'Djamena, Chad - Brazzaville, Congo",Boeing B-707-123B,27.0,19.0,8.0,27.0,19.0,8.0,0.0,2002,Julio,Jueves,CENTRAL AFRICAN REPUBLIC,2000,Sin escala
"Near Long Barai, Indonesia",Sabang Merauke Raya Air Charter,Tarakan - Krayan,Britten-Norman BN-2A Islander,10.0,8.0,2.0,10.0,8.0,2.0,0.0,2002,Julio,Martes,INDONESIA,2000,Sin escala
"Off Cromer, Norfork, England",Bristow Helicopters,Gas platform Clipper - drilling rig Golbal Sante Fe Monach,Sikorsky S-76A,11.0,9.0,2.0,11.0,9.0,2.0,0.0,2002,Julio,Martes,ENGLAND,2000,Sin escala
"Surkhet, Nepal",Skyline Airways,Jumla - Surkhet,de Havilland Canada DHC-6 Twin Otter 300,4.0,2.0,2.0,4.0,2.0,2.0,0.0,2002,Julio,Miércoles,NEPAL,2000,Sin escala
